brand,screen_size,harddisk,ram,price
rokc,14.0,1000.0,8.0,589.99
hp,15.6,1000.0,64.0,999.99
msi,15.66,512.0,32.0,1599.0
apple,13.3,256.0,8.0,689.99
apple,15.3,256.0,8.0,1144.48
acer,15.6,128.0,8.0,299.99
apple,13.3,256.0,8.0,965.08
acer,15.6,64.0,4.0,239.99
asus,16.0,512.0,16.0,1274.03
acer,15.6,128.0,8.0,299.99
acer,15.6,512.0,16.0,814.77
hp,14.0,1000.0,16.0,379.99
rokc,15.6,1152.0,20.0,389.99
hp,15.6,1000.0,16.0,459.99
rokc,15.6,1000.0,20.0,639.99
acer,17.3,1000.0,16.0,1199.99
hp,15.6,1000.0,16.0,473.0
asus,15.6,512.0,8.0,699.99
msi,15.6,512.0,16.0,938.0
lenovo,15.6,256.0,20.0,419.0
lenovo,15.6,256.0,8.0,801.96
asus,16.0,1000.0,16.0,1799.99
hp,14.0,64.0,4.0,249.0
hp,17.3,1000.0,32.0,510.0
hp,15.6,512.0,16.0,527.15
asus,16.0,512.0,32.0,2199.0
msi,15.6,512.0,32.0,1699.0
dell,16.0,1000.0,32.0,899.99
lenovo,14.0,1000.0,20.0,359.0
hp,14.0,64.0,4.0,209.99
lenovo,15.6,512.0,8.0,637.35
dell,15.6,1000.0,16.0,439.0
acer,14.0,128.0,8.0,372.66
msi,15.6,1000.0,16.0,1429.0
lenovo,14.0,128.0,8.0,281.69
asus,15.6,64.0,4.0,236.47
hp,15.0,256.0,8.0,337.96
asus,13.3,1000.0,32.0,1399.99
asus,15.6,1000.0,16.0,1044.77
lenovo,15.6,64.0,8.0,294.29
acer,15.6,64.0,4.0,224.0
asus,14.0,128.0,4.0,225.82
lenovo,14.0,256.0,16.0,539.99
acer,15.6,128.0,4.0,229.99
asus,13.4,1000.0,16.0,1749.99
hp,15.6,1000.0,16.0,465.0
asus,16.0,2000.0,32.0,3349.0
asus,18.0,2000.0,32.0,3899.0
lg,17.0,2000.0,32.0,1734.71
asus,13.4,1000.0,32.0,2499.99
lenovo,11.6,32.0,4.0,114.74
